id,label,facial_expression
Robert Downey Jr_87.jpg,Robert Downey Jr,happy
Lisa Kudrow_64.jpg,Lisa Kudrow,happy
Ellen Degeneres_34.jpg,Ellen Degeneres,happy
Billie Eilish_3.jpg,Billie Eilish,happy
Hrithik Roshan_35.jpg,Hrithik Roshan,happy
Vijay Deverakonda_39.jpg,Vijay Deverakonda,happy
Tom Cruise_21.jpg,Tom Cruise,happy
Alia Bhatt_41.jpg,Alia Bhatt,neutral
Elizabeth Olsen_36.jpg,Elizabeth Olsen,happy
Charlize Theron_29.jpg,Charlize Theron,happy
Natalie Portman_74.jpg,Natalie Portman,neutral
Priyanka Chopra_6.jpg,Priyanka Chopra,happy
Priyanka Chopra_73.jpg,Priyanka Chopra,happy
Natalie Portman_99.jpg,Natalie Portman,neutral
Zac Efron_6.jpg,Zac Efron,happy
Marmik_5.jpg,Marmik,sad
Camila Cabello_9.jpg,Camila Cabello,happy
Elizabeth Olsen_23.jpg,Elizabeth Olsen,happy
Claire Holt_28.jpg,Claire Holt,happy
Brad Pitt_85.jpg,Brad Pitt,happy
Ellen Degeneres_67.jpg,Ellen Degeneres,happy
Anushka Sharma_48.jpg,Anushka Sharma,happy
Zac Efron_52.jpg,Zac Efron,happy
Lisa Kudrow_18.jpg,Lisa Kudrow,happy
Elizabeth Olsen_43.jpg,Elizabeth Olsen,neutral
Lisa Kudrow_2.jpg,Lisa Kudrow,happy
Priyanka Chopra_72.jpg,Priyanka Chopra,happy
Natalie Portman_21.jpg,Natalie Portman,happy
Marmik_14.jpg,Marmik,sad
Claire Holt_92.jpg,Claire Holt,sad
Roger Federer_37.jpg,Roger Federer,happy
Brad Pitt_72.jpg,Brad Pitt,sad
Akshay Kumar_49.jpg,Akshay Kumar,sad
Robert Downey Jr_73.jpg,Robert Downey Jr,happy
Zac Efron_9.jpg,Zac Efron,neutral
Alexandra Daddario_3.jpg,Alexandra Daddario,neutral
Alia Bhatt_56.jpg,Alia Bhatt,happy
Hugh Jackman_61.jpg,Hugh Jackman,happy
Camila Cabello_75.jpg,Camila Cabello,neutral
Anushka Sharma_61.jpg,Anushka Sharma,happy
Vijay Deverakonda_68.jpg,Vijay Deverakonda,angry
Ellen Degeneres_72.jpg,Ellen Degeneres,happy
Andy Samberg_75.jpg,Andy Samberg,neutral
Vijay Deverakonda_33.jpg,Vijay Deverakonda,angry
Alexandra Daddario_14.jpg,Alexandra Daddario,happy
Hrithik Roshan_84.jpg,Hrithik Roshan,fear
Margot Robbie_5.jpg,Margot Robbie,happy
Margot Robbie_69.jpg,Margot Robbie,happy
Hrithik Roshan_45.jpg,Hrithik Roshan,happy
Anushka Sharma_5.jpg,Anushka Sharma,happy
Andy Samberg_74.jpg,Andy Samberg,neutral
Courtney Cox_49.jpg,Courtney Cox,happy
Natalie Portman_92.jpg,Natalie Portman,neutral
Charlize Theron_36.jpg,Charlize Theron,happy
Anushka Sharma_33.jpg,Anushka Sharma,happy
Elizabeth Olsen_54.jpg,Elizabeth Olsen,surprise
Robert Downey Jr_19.jpg,Robert Downey Jr,neutral
